iteration,epoch,loss,accuracy
1.000000,0.000184,1.115553,0.304688
2.000000,0.000368,1.140031,0.283203
3.000000,0.000552,1.131124,0.277344
4.000000,0.000737,1.120217,0.306641
5.000000,0.000921,1.133928,0.298828
6.000000,0.001105,1.138630,0.298828
7.000000,0.001289,1.138093,0.283203
8.000000,0.001473,1.128501,0.287109
9.000000,0.001657,1.140407,0.277344
10.000000,0.001842,1.112024,0.328125
11.000000,0.002026,1.124244,0.275391
12.000000,0.002210,1.127255,0.267578
13.000000,0.002394,1.116794,0.337891
14.000000,0.002578,1.139000,0.267578
15.000000,0.002762,1.112266,0.326172
16.000000,0.002947,1.118274,0.300781
17.000000,0.003131,1.111272,0.314453
18.000000,0.003315,1.131362,0.271484
19.000000,0.003499,1.121191,0.273438
20.000000,0.003683,1.133450,0.277344
21.000000,0.003867,1.134120,0.265625
22.000000,0.004052,1.108826,0.291016
23.000000,0.004236,1.132678,0.273438
24.000000,0.004420,1.127791,0.281250
25.000000,0.004604,1.120077,0.320312
26.000000,0.004788,1.110952,0.300781
27.000000,0.004972,1.126624,0.273438
28.000000,0.005157,1.123360,0.292969
29.000000,0.005341,1.118867,0.351562
30.000000,0.005525,1.116817,0.318359
31.000000,0.005709,1.126750,0.292969
32.000000,0.005893,1.139490,0.275391
33.000000,0.006077,1.118503,0.318359
34.000000,0.006262,1.118970,0.312500
35.000000,0.006446,1.120746,0.322266
36.000000,0.006630,1.121038,0.294922
37.000000,0.006814,1.121333,0.322266
38.000000,0.006998,1.125308,0.304688
39.000000,0.007182,1.120899,0.310547
40.000000,0.007366,1.119222,0.328125
