iteration,epoch,loss,accuracy
1.000000,0.000045,1.443323,0.261992
2.000000,0.000089,1.132023,0.225607
3.000000,0.000134,0.854411,0.211978
4.000000,0.000178,0.588847,0.207690
5.000000,0.000223,0.461008,0.108609
6.000000,0.000268,0.390174,0.066874
7.000000,0.000312,0.348286,0.039160
8.000000,0.000357,0.311169,0.015792
9.000000,0.000402,0.341207,0.006479
10.000000,0.000446,0.276703,0.003492
11.000000,0.000491,0.316737,0.002374
12.000000,0.000535,0.319478,0.001041
13.000000,0.000580,0.334015,0.000429
14.000000,0.000625,0.307943,0.000183
15.000000,0.000669,0.300409,0.000167
16.000000,0.000714,0.266617,0.000080
17.000000,0.000759,0.269133,0.000205
18.000000,0.000803,0.311386,0.000172
19.000000,0.000848,0.299678,0.000118
20.000000,0.000892,0.276742,0.000294
21.000000,0.000937,0.276910,0.000843
22.000000,0.000982,0.274335,0.001420
23.000000,0.001026,0.286827,0.002470
24.000000,0.001071,0.286049,0.003661
25.000000,0.001116,0.289714,0.003826
26.000000,0.001160,0.273221,0.005712
27.000000,0.001205,0.261190,0.002640
28.000000,0.001249,0.261247,0.003153
29.000000,0.001294,0.264177,0.001548
30.000000,0.001339,0.233618,0.002142
31.000000,0.001383,0.260678,0.002113
32.000000,0.001428,0.271235,0.003739
33.000000,0.001473,0.256700,0.003649
34.000000,0.001517,0.272469,0.003106
35.000000,0.001562,0.244396,0.007004
36.000000,0.001606,0.233806,0.005236
37.000000,0.001651,0.250143,0.004441
38.000000,0.001696,0.257319,0.004089
39.000000,0.001740,0.249973,0.007924
40.000000,0.001785,0.237758,0.009046
41.000000,0.001830,0.236808,0.009495
42.000000,0.001874,0.253241,0.011907
43.000000,0.001919,0.233237,0.016686
44.000000,0.001963,0.220170,0.024405
45.000000,0.002008,0.229472,0.016372
46.000000,0.002053,0.236874,0.024325
47.000000,0.002097,0.231725,0.024840
48.000000,0.002142,0.232228,0.024109
49.000000,0.002187,0.214042,0.022025
50.000000,0.002231,0.221154,0.018777
51.000000,0.002276,0.225238,0.024889
52.000000,0.002320,0.225240,0.046567
53.000000,0.002365,0.214511,0.059928
54.000000,0.002410,0.225289,0.044550
55.000000,0.002454,0.215997,0.023770
56.000000,0.002499,0.198372,0.036632
57.000000,0.002544,0.223501,0.055514
58.000000,0.002588,0.234093,0.048948
59.000000,0.002633,0.225803,0.084818
60.000000,0.002677,0.237195,0.058630
61.000000,0.002722,0.213030,0.083764
62.000000,0.002767,0.208105,0.065799
63.000000,0.002811,0.223171,0.056316
64.000000,0.002856,0.209904,0.119446
65.000000,0.002901,0.217992,0.104219
66.000000,0.002945,0.187848,0.044244
67.000000,0.002990,0.200106,0.090766
68.000000,0.003034,0.213713,0.127909
69.000000,0.003079,0.194293,0.135644
70.000000,0.003124,0.199354,0.096437
71.000000,0.003168,0.213778,0.065693
72.000000,0.003213,0.221847,0.124971
73.000000,0.003258,0.213368,0.152148
74.000000,0.003302,0.234835,0.120009
75.000000,0.003347,0.189385,0.101053
76.000000,0.003391,0.194564,0.135670
77.000000,0.003436,0.199567,0.148847
78.000000,0.003481,0.193724,0.142053
79.000000,0.003525,0.178950,0.103034
80.000000,0.003570,0.199158,0.088789
81.000000,0.003615,0.200292,0.104426
82.000000,0.003659,0.205428,0.147194
